Wed, 02 Sep 2020 15:22:39 GMT | INFO | app.log | Request received at /register | data:{"name":"shop1","email":"test@gmail.com","password":"123456789"} | 
Wed, 02 Sep 2020 15:22:39 GMT | ERROR | app.log | email already exists | 
Wed, 02 Sep 2020 15:31:21 GMT | INFO | app.log | Request received at /register | 
Wed, 02 Sep 2020 15:31:21 GMT | ERROR | app.log | email already exists | 
Wed, 02 Sep 2020 15:32:03 GMT | INFO | app.log | Request received at /register | 
Wed, 02 Sep 2020 15:32:03 GMT | ERROR | app.log | [object Object] | 
Wed, 02 Sep 2020 15:32:40 GMT | INFO | app.log | Request received at /register | 
Wed, 02 Sep 2020 15:32:40 GMT | ERROR | app.log | [object Object] | 
Wed, 02 Sep 2020 15:33:44 GMT | INFO | app.log | Request received at /register | 
Wed, 02 Sep 2020 15:33:44 GMT | ERROR | app.log | [{"location":"body","param":"email","value":"","msg":"Email is invalid"}] | 
Wed, 02 Sep 2020 15:34:17 GMT | INFO | app.log | Request received at /register | 
Wed, 02 Sep 2020 15:34:17 GMT | ERROR | app.log | [{"location":"body","param":"password","value":"","msg":"password must be in between 8 to 12 characters long"}] | 
Wed, 02 Sep 2020 15:34:50 GMT | INFO | app.log | Request received at /register | 
Wed, 02 Sep 2020 15:34:50 GMT | INFO | app.log | user registered successfully | 
Wed, 02 Sep 2020 15:35:16 GMT | INFO | app.log | Request received at /register | 
Wed, 02 Sep 2020 15:35:16 GMT | ERROR | app.log | email already exists | 
Wed, 02 Sep 2020 15:36:07 GMT | INFO | app.log | Request received at /login | 
Wed, 02 Sep 2020 15:36:07 GMT | INFO | app.log | user login successfully | 
Wed, 02 Sep 2020 15:36:17 GMT | INFO | app.log | Request received at /login | 
Wed, 02 Sep 2020 15:36:17 GMT | INFO | app.log | user login successfully | 
Wed, 02 Sep 2020 15:36:32 GMT | INFO | app.log | Request received at /login | 
Wed, 02 Sep 2020 15:36:32 GMT | ERROR | app.log | TypeError: Cannot read property 'password' of null | 
